Treatment Function Code,Metric,Category,Waiting Bands,Count
Ophthalmology Service,IMD,8,Over 52 Weeks,970
Ophthalmology Service,IMD,8,Total,58210
Ophthalmology Service,IMD,9,Unknown Clock Start,55
Ophthalmology Service,IMD,9,01 To 18 Weeks,40710
Ophthalmology Service,IMD,9,18 To 52 Weeks,16390
Ophthalmology Service,IMD,9,Over 52 Weeks,880
Ophthalmology Service,IMD,9,Total,58035
Ophthalmology Service,Sex,Female,Unknown Clock Start,220
Ophthalmology Service,Sex,Female,01 To 18 Weeks,212805
Ophthalmology Service,Sex,Female,18 To 52 Weeks,86115
Ophthalmology Service,Sex,Female,Over 52 Weeks,4745
Ophthalmology Service,Sex,Female,Total,303885
Ophthalmology Service,Sex,Male,Unknown Clock Start,210
Ophthalmology Service,Sex,Male,01 To 18 Weeks,170415
Ophthalmology Service,Sex,Male,18 To 52 Weeks,68715
Ophthalmology Service,Sex,Male,Over 52 Weeks,3665
Ophthalmology Service,Sex,Male,Total,243000
Oral Surgery Service,Age,0-18 Years,Unknown Clock Start,10
Oral Surgery Service,Age,0-18 Years,01 To 18 Weeks,19065
Oral Surgery Service,Age,0-18 Years,18 To 52 Weeks,20335
Oral Surgery Service,Age,0-18 Years,Over 52 Weeks,2285
Oral Surgery Service,Age,0-18 Years,Total,41695
Oral Surgery Service,Age,19-64 Years,Unknown Clock Start,30
Oral Surgery Service,Age,19-64 Years,01 To 18 Weeks,108455
Oral Surgery Service,Age,19-64 Years,18 To 52 Weeks,99550
Oral Surgery Service,Age,19-64 Years,Over 52 Weeks,9610
Oral Surgery Service,Age,19-64 Years,Total,217650
Oral Surgery Service,Age,Over 65 Years,Unknown Clock Start,15
Oral Surgery Service,Age,Over 65 Years,01 To 18 Weeks,38010
Oral Surgery Service,Age,Over 65 Years,18 To 52 Weeks,28645
Oral Surgery Service,Age,Over 65 Years,Over 52 Weeks,2490
Oral Surgery Service,Age,Over 65 Years,Total,69160
Oral Surgery Service,Ethnicity,99: Not known,Unknown Clock Start,*
Oral Surgery Service,Ethnicity,99: Not known,01 To 18 Weeks,5330
Oral Surgery Service,Ethnicity,99: Not known,18 To 52 Weeks,4540
Oral Surgery Service,Ethnicity,99: Not known,Over 52 Weeks,380
Oral Surgery Service,Ethnicity,99: Not known,Total,10250
Oral Surgery Service,Ethnicity,A: British,Unknown Clock Start,45
Oral Surgery Service,Ethnicity,A: British,01 To 18 Weeks,115535
Oral Surgery Service,Ethnicity,A: British,18 To 52 Weeks,104335
Oral Surgery Service,Ethnicity,A: British,Over 52 Weeks,10290
Oral Surgery Service,Ethnicity,A: British,Total,230210
Oral Surgery Service,Ethnicity,B: Irish,Unknown Clock Start,*
Oral Surgery Service,Ethnicity,B: Irish,01 To 18 Weeks,820
Oral Surgery Service,Ethnicity,B: Irish,18 To 52 Weeks,650
Oral Surgery Service,Ethnicity,B: Irish,Over 52 Weeks,55
Oral Surgery Service,Ethnicity,B: Irish,Total,1525
Oral Surgery Service,Ethnicity,C: Any other white background,Unknown Clock Start,*
Oral Surgery Service,Ethnicity,C: Any other white background,01 To 18 Weeks,8795
Oral Surgery Service,Ethnicity,C: Any other white background,18 To 52 Weeks,7540
Oral Surgery Service,Ethnicity,C: Any other white background,Over 52 Weeks,745
Oral Surgery Service,Ethnicity,C: Any other white background,Total,17080
Oral Surgery Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,875
Oral Surgery Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,860
Oral Surgery Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,70
Oral Surgery Service,Ethnicity,D: White and Black Caribbean,Total,1805
Oral Surgery Service,Ethnicity,E: White and Black African,01 To 18 Weeks,400
Oral Surgery Service,Ethnicity,E: White and Black African,18 To 52 Weeks,380
Oral Surgery Service,Ethnicity,E: White and Black African,Over 52 Weeks,35
Oral Surgery Service,Ethnicity,E: White and Black African,Total,815
Oral Surgery Service,Ethnicity,F: White and Asian,01 To 18 Weeks,605
Oral Surgery Service,Ethnicity,F: White and Asian,18 To 52 Weeks,560
Oral Surgery Service,Ethnicity,F: White and Asian,Over 52 Weeks,55
Oral Surgery Service,Ethnicity,F: White and Asian,Total,1225
Oral Surgery Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1385
Oral Surgery Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,1280
Oral Surgery Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,110
Oral Surgery Service,Ethnicity,G: Any other mixed background,Total,2775
Oral Surgery Service,Ethnicity,H: Indian,01 To 18 Weeks,4765
Oral Surgery Service,Ethnicity,H: Indian,18 To 52 Weeks,4220
Oral Surgery Service,Ethnicity,H: Indian,Over 52 Weeks,395
Oral Surgery Service,Ethnicity,H: Indian,Total,9385
Oral Surgery Service,Ethnicity,J: Pakistani,01 To 18 Weeks,4015
Oral Surgery Service,Ethnicity,J: Pakistani,18 To 52 Weeks,4140
Oral Surgery Service,Ethnicity,J: Pakistani,Over 52 Weeks,425
Oral Surgery Service,Ethnicity,J: Pakistani,Total,8575
Oral Surgery Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,1690
Oral Surgery Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,1465
Oral Surgery Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,180
Oral Surgery Service,Ethnicity,K: Bangladeshi,Total,3340
Oral Surgery Service,Ethnicity,L: Any other Asian background,Unknown Clock Start,*
Oral Surgery Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,3400
Oral Surgery Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,3030
Oral Surgery Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,240
Oral Surgery Service,Ethnicity,L: Any other Asian background,Total,6675
Oral Surgery Service,Ethnicity,M: Caribbean,01 To 18 Weeks,2360
Oral Surgery Service,Ethnicity,M: Caribbean,18 To 52 Weeks,1940
Oral Surgery Service,Ethnicity,M: Caribbean,Over 52 Weeks,145
Oral Surgery Service,Ethnicity,M: Caribbean,Total,4440
Oral Surgery Service,Ethnicity,N: African,Unknown Clock Start,*
Oral Surgery Service,Ethnicity,N: African,01 To 18 Weeks,3305
Oral Surgery Service,Ethnicity,N: African,18 To 52 Weeks,2840
Oral Surgery Service,Ethnicity,N: African,Over 52 Weeks,235
Oral Surgery Service,Ethnicity,N: African,Total,6380
Oral Surgery Service,Ethnicity,P: Any other Black background,01 To 18 Weeks,1900
Oral Surgery Service,Ethnicity,P: Any other Black background,18 To 52 Weeks,1470
Oral Surgery Service,Ethnicity,P: Any other Black background,Over 52 Weeks,115
Oral Surgery Service,Ethnicity,P: Any other Black background,Total,3485
Oral Surgery Service,Ethnicity,R: Chinese,01 To 18 Weeks,730
Oral Surgery Service,Ethnicity,R: Chinese,18 To 52 Weeks,640
Oral Surgery Service,Ethnicity,R: Chinese,Over 52 Weeks,75
Oral Surgery Service,Ethnicity,R: Chinese,Total,1445
Oral Surgery Service,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,1865
Oral Surgery Service,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,1480
Oral Surgery Service,Ethnicity,S: Any other ethnic group,Over 52 Weeks,120
Oral Surgery Service,Ethnicity,S: Any other ethnic group,Total,3460
Oral Surgery Service,Ethnicity,Z: Not stated,Unknown Clock Start,*
Oral Surgery Service,Ethnicity,Z: Not stated,01 To 18 Weeks,8975
Oral Surgery Service,Ethnicity,Z: Not stated,18 To 52 Weeks,7525
Oral Surgery Service,Ethnicity,Z: Not stated,Over 52 Weeks,720
Oral Surgery Service,Ethnicity,Z: Not stated,Total,17220
Oral Surgery Service,IMD,1,Unknown Clock Start,10
Oral Surgery Service,IMD,1,01 To 18 Weeks,17525
Oral Surgery Service,IMD,1,18 To 52 Weeks,17320
Oral Surgery Service,IMD,1,Over 52 Weeks,1910
Oral Surgery Service,IMD,1,Total,36765
Oral Surgery Service,IMD,10,Unknown Clock Start,*
Oral Surgery Service,IMD,10,01 To 18 Weeks,13860
Oral Surgery Service,IMD,10,18 To 52 Weeks,12680
Oral Surgery Service,IMD,10,Over 52 Weeks,1390
Oral Surgery Service,IMD,10,Total,27930
Oral Surgery Service,IMD,2,Unknown Clock Start,*
Oral Surgery Service,IMD,2,01 To 18 Weeks,17480
Oral Surgery Service,IMD,2,18 To 52 Weeks,15455
Oral Surgery Service,IMD,2,Over 52 Weeks,1465
Oral Surgery Service,IMD,2,Total,34400
Oral Surgery Service,IMD,3,Unknown Clock Start,*
Oral Surgery Service,IMD,3,01 To 18 Weeks,17565
Oral Surgery Service,IMD,3,18 To 52 Weeks,15040
Oral Surgery Service,IMD,3,Over 52 Weeks,1410
Oral Surgery Service,IMD,3,Total,34020
Oral Surgery Service,IMD,4,Unknown Clock Start,*
Oral Surgery Service,IMD,4,01 To 18 Weeks,16495
Oral Surgery Service,IMD,4,18 To 52 Weeks,14500
Oral Surgery Service,IMD,4,Over 52 Weeks,1270
Oral Surgery Service,IMD,4,Total,32270
Oral Surgery Service,IMD,5,Unknown Clock Start,*
Oral Surgery Service,IMD,5,01 To 18 Weeks,16140
Oral Surgery Service,IMD,5,18 To 52 Weeks,14055
Oral Surgery Service,IMD,5,Over 52 Weeks,1280
Oral Surgery Service,IMD,5,Total,31475
Oral Surgery Service,IMD,6,Unknown Clock Start,10
Oral Surgery Service,IMD,6,01 To 18 Weeks,16160
Oral Surgery Service,IMD,6,18 To 52 Weeks,13840
Oral Surgery Service,IMD,6,Over 52 Weeks,1255
Oral Surgery Service,IMD,6,Total,31260
Oral Surgery Service,IMD,7,Unknown Clock Start,*
Oral Surgery Service,IMD,7,01 To 18 Weeks,15640
Oral Surgery Service,IMD,7,18 To 52 Weeks,13785
Oral Surgery Service,IMD,7,Over 52 Weeks,1315
Oral Surgery Service,IMD,7,Total,30750
Oral Surgery Service,IMD,8,Unknown Clock Start,*
Oral Surgery Service,IMD,8,01 To 18 Weeks,15485
Oral Surgery Service,IMD,8,18 To 52 Weeks,14055
Oral Surgery Service,IMD,8,Over 52 Weeks,1350
Oral Surgery Service,IMD,8,Total,30890
Oral Surgery Service,IMD,9,Unknown Clock Start,*
Oral Surgery Service,IMD,9,01 To 18 Weeks,14735
Oral Surgery Service,IMD,9,18 To 52 Weeks,13380
Oral Surgery Service,IMD,9,Over 52 Weeks,1340
Oral Surgery Service,IMD,9,Total,29460
Oral Surgery Service,Sex,Female,Unknown Clock Start,25
Oral Surgery Service,Sex,Female,01 To 18 Weeks,89945
Oral Surgery Service,Sex,Female,18 To 52 Weeks,83580
Oral Surgery Service,Sex,Female,Over 52 Weeks,8225
Oral Surgery Service,Sex,Female,Total,181770
Oral Surgery Service,Sex,Male,Unknown Clock Start,30
Oral Surgery Service,Sex,Male,01 To 18 Weeks,63995
Oral Surgery Service,Sex,Male,18 To 52 Weeks,57180
Oral Surgery Service,Sex,Male,Over 52 Weeks,5500
Oral Surgery Service,Sex,Male,Total,126710
Other - Medical Services,Age,0-18 Years,Unknown Clock Start,135
Other - Medical Services,Age,0-18 Years,01 To 18 Weeks,113160
Other - Medical Services,Age,0-18 Years,18 To 52 Weeks,40710
Other - Medical Services,Age,0-18 Years,Over 52 Weeks,1480
Other - Medical Services,Age,0-18 Years,Total,155485
Other - Medical Services,Age,19-64 Years,Unknown Clock Start,365
Other - Medical Services,Age,19-64 Years,01 To 18 Weeks,258610
Other - Medical Services,Age,19-64 Years,18 To 52 Weeks,152310
Other - Medical Services,Age,19-64 Years,Over 52 Weeks,9045
Other - Medical Services,Age,19-64 Years,Total,420325
Other - Medical Services,Age,Over 65 Years,Unknown Clock Start,330
Other - Medical Services,Age,Over 65 Years,01 To 18 Weeks,119565
Other - Medical Services,Age,Over 65 Years,18 To 52 Weeks,61035
Other - Medical Services,Age,Over 65 Years,Over 52 Weeks,3515
Other - Medical Services,Age,Over 65 Years,Total,184445
Other - Medical Services,Ethnicity,99: Not known,Unknown Clock Start,10
Other - Medical Services,Ethnicity,99: Not known,01 To 18 Weeks,19295
Other - Medical Services,Ethnicity,99: Not known,18 To 52 Weeks,7270
Other - Medical Services,Ethnicity,99: Not known,Over 52 Weeks,365
Other - Medical Services,Ethnicity,99: Not known,Total,26940
Other - Medical Services,Ethnicity,A: British,Unknown Clock Start,625
Other - Medical Services,Ethnicity,A: British,01 To 18 Weeks,330670
Other - Medical Services,Ethnicity,A: British,18 To 52 Weeks,169905
Other - Medical Services,Ethnicity,A: British,Over 52 Weeks,9770
Other - Medical Services,Ethnicity,A: British,Total,510970
Other - Medical Services,Ethnicity,B: Irish,Unknown Clock Start,10
Other - Medical Services,Ethnicity,B: Irish,01 To 18 Weeks,2825
Other - Medical Services,Ethnicity,B: Irish,18 To 52 Weeks,1425
Other - Medical Services,Ethnicity,B: Irish,Over 52 Weeks,75
Other - Medical Services,Ethnicity,B: Irish,Total,4335
Other - Medical Services,Ethnicity,C: Any other white background,Unknown Clock Start,45
Other - Medical Services,Ethnicity,C: Any other white background,01 To 18 Weeks,34965
Other - Medical Services,Ethnicity,C: Any other white background,18 To 52 Weeks,18315
Other - Medical Services,Ethnicity,C: Any other white background,Over 52 Weeks,890
Other - Medical Services,Ethnicity,C: Any other white background,Total,54215
Other - Medical Services,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,*
Other - Medical Services,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,2960
Other - Medical Services,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,1360
Other - Medical Services,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,55
Other - Medical Services,Ethnicity,D: White and Black Caribbean,Total,4375
Other - Medical Services,Ethnicity,E: White and Black African,Unknown Clock Start,*
Other - Medical Services,Ethnicity,E: White and Black African,01 To 18 Weeks,1715
Other - Medical Services,Ethnicity,E: White and Black African,18 To 52 Weeks,740
Other - Medical Services,Ethnicity,E: White and Black African,Over 52 Weeks,45
Other - Medical Services,Ethnicity,E: White and Black African,Total,2500
Other - Medical Services,Ethnicity,F: White and Asian,Unknown Clock Start,10
Other - Medical Services,Ethnicity,F: White and Asian,01 To 18 Weeks,2430
Other - Medical Services,Ethnicity,F: White and Asian,18 To 52 Weeks,1090
Other - Medical Services,Ethnicity,F: White and Asian,Over 52 Weeks,50
Other - Medical Services,Ethnicity,F: White and Asian,Total,3580
Other - Medical Services,Ethnicity,G: Any other mixed background,Unknown Clock Start,*
Other - Medical Services,Ethnicity,G: Any other mixed background,01 To 18 Weeks,5695
Other - Medical Services,Ethnicity,G: Any other mixed background,18 To 52 Weeks,2610
Other - Medical Services,Ethnicity,G: Any other mixed background,Over 52 Weeks,120
Other - Medical Services,Ethnicity,G: Any other mixed background,Total,8430
Other - Medical Services,Ethnicity,H: Indian,Unknown Clock Start,15
Other - Medical Services,Ethnicity,H: Indian,01 To 18 Weeks,15230
Other - Medical Services,Ethnicity,H: Indian,18 To 52 Weeks,8285
Other - Medical Services,Ethnicity,H: Indian,Over 52 Weeks,340
Other - Medical Services,Ethnicity,H: Indian,Total,23870
Other - Medical Services,Ethnicity,J: Pakistani,Unknown Clock Start,10
Other - Medical Services,Ethnicity,J: Pakistani,01 To 18 Weeks,14215
Other - Medical Services,Ethnicity,J: Pakistani,18 To 52 Weeks,7820
Other - Medical Services,Ethnicity,J: Pakistani,Over 52 Weeks,425
Other - Medical Services,Ethnicity,J: Pakistani,Total,22465
Other - Medical Services,Ethnicity,K: Bangladeshi,Unknown Clock Start,*
Other - Medical Services,Ethnicity,K: Bangladeshi,01 To 18 Weeks,5720
Other - Medical Services,Ethnicity,K: Bangladeshi,18 To 52 Weeks,3085
Other - Medical Services,Ethnicity,K: Bangladeshi,Over 52 Weeks,225
Other - Medical Services,Ethnicity,K: Bangladeshi,Total,9035
Other - Medical Services,Ethnicity,L: Any other Asian background,Unknown Clock Start,40
Other - Medical Services,Ethnicity,L: Any other Asian background,01 To 18 Weeks,12810
Other - Medical Services,Ethnicity,L: Any other Asian background,18 To 52 Weeks,6830
Other - Medical Services,Ethnicity,L: Any other Asian background,Over 52 Weeks,320
Other - Medical Services,Ethnicity,L: Any other Asian background,Total,20000
Other - Medical Services,Ethnicity,M: Caribbean,Unknown Clock Start,*
Other - Medical Services,Ethnicity,M: Caribbean,01 To 18 Weeks,7550
Other - Medical Services,Ethnicity,M: Caribbean,18 To 52 Weeks,4010
Other - Medical Services,Ethnicity,M: Caribbean,Over 52 Weeks,205
Other - Medical Services,Ethnicity,M: Caribbean,Total,11775
Other - Medical Services,Ethnicity,N: African,Unknown Clock Start,20
Other - Medical Services,Ethnicity,N: African,01 To 18 Weeks,13910
Other - Medical Services,Ethnicity,N: African,18 To 52 Weeks,6340
Other - Medical Services,Ethnicity,N: African,Over 52 Weeks,305
Other - Medical Services,Ethnicity,N: African,Total,20575
Other - Medical Services,Ethnicity,P: Any other Black background,Unknown Clock Start,10
Other - Medical Services,Ethnicity,P: Any other Black background,01 To 18 Weeks,6090
Other - Medical Services,Ethnicity,P: Any other Black background,18 To 52 Weeks,2935
Other - Medical Services,Ethnicity,P: Any other Black background,Over 52 Weeks,150
Other - Medical Services,Ethnicity,P: Any other Black background,Total,9190
Other - Medical Services,Ethnicity,R: Chinese,Unknown Clock Start,*
Other - Medical Services,Ethnicity,R: Chinese,01 To 18 Weeks,2450
Other - Medical Services,Ethnicity,R: Chinese,18 To 52 Weeks,1070
Other - Medical Services,Ethnicity,R: Chinese,Over 52 Weeks,60
Other - Medical Services,Ethnicity,R: Chinese,Total,3580
Other - Medical Services,Ethnicity,S: Any other ethnic group,Unknown Clock Start,10
Other - Medical Services,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,6725
Other - Medical Services,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,3460
Other - Medical Services,Ethnicity,S: Any other ethnic group,Over 52 Weeks,145
Other - Medical Services,Ethnicity,S: Any other ethnic group,Total,10345
Other - Medical Services,Ethnicity,Z: Not stated,Unknown Clock Start,15
Other - Medical Services,Ethnicity,Z: Not stated,01 To 18 Weeks,20510
Other - Medical Services,Ethnicity,Z: Not stated,18 To 52 Weeks,10105
Other - Medical Services,Ethnicity,Z: Not stated,Over 52 Weeks,515
Other - Medical Services,Ethnicity,Z: Not stated,Total,31145
Other - Medical Services,IMD,1,Unknown Clock Start,55
Other - Medical Services,IMD,1,01 To 18 Weeks,56240
Other - Medical Services,IMD,1,18 To 52 Weeks,28715
Other - Medical Services,IMD,1,Over 52 Weeks,1680
Other - Medical Services,IMD,1,Total,86685
Other - Medical Services,IMD,10,Unknown Clock Start,145
Other - Medical Services,IMD,10,01 To 18 Weeks,39125
Other - Medical Services,IMD,10,18 To 52 Weeks,20200
Other - Medical Services,IMD,10,Over 52 Weeks,1075
Other - Medical Services,IMD,10,Total,60545
Other - Medical Services,IMD,2,Unknown Clock Start,45
Other - Medical Services,IMD,2,01 To 18 Weeks,56600
Other - Medical Services,IMD,2,18 To 52 Weeks,28730
Other - Medical Services,IMD,2,Over 52 Weeks,1560
Other - Medical Services,IMD,2,Total,86935
Other - Medical Services,IMD,3,Unknown Clock Start,55
Other - Medical Services,IMD,3,01 To 18 Weeks,54205
Other - Medical Services,IMD,3,18 To 52 Weeks,27715
Other - Medical Services,IMD,3,Over 52 Weeks,1590
Other - Medical Services,IMD,3,Total,83565
Other - Medical Services,IMD,4,Unknown Clock Start,85
Other - Medical Services,IMD,4,01 To 18 Weeks,51575
Other - Medical Services,IMD,4,18 To 52 Weeks,26835
Other - Medical Services,IMD,4,Over 52 Weeks,1445
Other - Medical Services,IMD,4,Total,79940
Other - Medical Services,IMD,5,Unknown Clock Start,75
Other - Medical Services,IMD,5,01 To 18 Weeks,48745
Other - Medical Services,IMD,5,18 To 52 Weeks,25035
Other - Medical Services,IMD,5,Over 52 Weeks,1370
Other - Medical Services,IMD,5,Total,75225
Other - Medical Services,IMD,6,Unknown Clock Start,75
Other - Medical Services,IMD,6,01 To 18 Weeks,48240
Other - Medical Services,IMD,6,18 To 52 Weeks,24720
Other - Medical Services,IMD,6,Over 52 Weeks,1340
Other - Medical Services,IMD,6,Total,74370
Other - Medical Services,IMD,7,Unknown Clock Start,105
Other - Medical Services,IMD,7,01 To 18 Weeks,44850
Other - Medical Services,IMD,7,18 To 52 Weeks,23160
Other - Medical Services,IMD,7,Over 52 Weeks,1260
Other - Medical Services,IMD,7,Total,69380
Other - Medical Services,IMD,8,Unknown Clock Start,75
Other - Medical Services,IMD,8,01 To 18 Weeks,44480
Other - Medical Services,IMD,8,18 To 52 Weeks,22945
Other - Medical Services,IMD,8,Over 52 Weeks,1235
Other - Medical Services,IMD,8,Total,68735
Other - Medical Services,IMD,9,Unknown Clock Start,105
Other - Medical Services,IMD,9,01 To 18 Weeks,42735
Other - Medical Services,IMD,9,18 To 52 Weeks,21525
Other - Medical Services,IMD,9,Over 52 Weeks,1170
Other - Medical Services,IMD,9,Total,65540
Other - Medical Services,Sex,Female,Unknown Clock Start,385
Other - Medical Services,Sex,Female,01 To 18 Weeks,261010
Other - Medical Services,Sex,Female,18 To 52 Weeks,140580
Other - Medical Services,Sex,Female,Over 52 Weeks,7890
Other - Medical Services,Sex,Female,Total,409870
Other - Medical Services,Sex,Male,Unknown Clock Start,350
Other - Medical Services,Sex,Male,01 To 18 Weeks,204010
Other - Medical Services,Sex,Male,18 To 52 Weeks,99570
Other - Medical Services,Sex,Male,Over 52 Weeks,5585
Other - Medical Services,Sex,Male,Total,309520
Other - Mental Health Services,Age,0-18 Years,01 To 18 Weeks,285
Other - Mental Health Services,Age,0-18 Years,18 To 52 Weeks,65
Other - Mental Health Services,Age,0-18 Years,Over 52 Weeks,*
Other - Mental Health Services,Age,0-18 Years,Total,355
Other - Mental Health Services,Age,19-64 Years,01 To 18 Weeks,790
Other - Mental Health Services,Age,19-64 Years,18 To 52 Weeks,360
Other - Mental Health Services,Age,19-64 Years,Over 52 Weeks,*
Other - Mental Health Services,Age,19-64 Years,Total,1150
Other - Mental Health Services,Age,Over 65 Years,01 To 18 Weeks,465
Other - Mental Health Services,Age,Over 65 Years,18 To 52 Weeks,70
Other - Mental Health Services,Age,Over 65 Years,Over 52 Weeks,*
Other - Mental Health Services,Age,Over 65 Years,Total,540
Other - Mental Health Services,Ethnicity,99: Not known,01 To 18 Weeks,140
Other - Mental Health Services,Ethnicity,99: Not known,18 To 52 Weeks,10
Other - Mental Health Services,Ethnicity,99: Not known,Total,150
Other - Mental Health Services,Ethnicity,A: British,01 To 18 Weeks,1260
Other - Mental Health Services,Ethnicity,A: British,18 To 52 Weeks,430
Other - Mental Health Services,Ethnicity,A: British,Over 52 Weeks,*
Other - Mental Health Services,Ethnicity,A: British,Total,1695
Other - Mental Health Services,Ethnicity,B: Irish,01 To 18 Weeks,10
Other - Mental Health Services,Ethnicity,B: Irish,18 To 52 Weeks,*
Other - Mental Health Services,Ethnicity,B: Irish,Total,10
Other - Mental Health Services,Ethnicity,C: Any other white background,01 To 18 Weeks,110
Other - Mental Health Services,Ethnicity,C: Any other white background,18 To 52 Weeks,40
Other - Mental Health Services,Ethnicity,C: Any other white background,Total,150
Other - Mental Health Services,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,20
Other - Mental Health Services,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,*
Other - Mental Health Services,Ethnicity,D: White and Black Caribbean,Total,25
Other - Mental Health Services,Ethnicity,E: White and Black African,01 To 18 Weeks,10
Other - Mental Health Services,Ethnicity,E: White and Black African,18 To 52 Weeks,*
Other - Mental Health Services,Ethnicity,E: White and Black African,Total,10
Other - Mental Health Services,Ethnicity,F: White and Asian,01 To 18 Weeks,*
Other - Mental Health Services,Ethnicity,F: White and Asian,18 To 52 Weeks,*
Other - Mental Health Services,Ethnicity,F: White and Asian,Total,10
Other - Mental Health Services,Ethnicity,G: Any other mixed background,01 To 18 Weeks,15
Other - Mental Health Services,Ethnicity,G: Any other mixed background,18 To 52 Weeks,10
Other - Mental Health Services,Ethnicity,G: Any other mixed background,Total,20
Other - Mental Health Services,Ethnicity,H: Indian,01 To 18 Weeks,40
Other - Mental Health Services,Ethnicity,H: Indian,18 To 52 Weeks,10
Other - Mental Health Services,Ethnicity,H: Indian,Over 52 Weeks,*
Other - Mental Health Services,Ethnicity,H: Indian,Total,50
Other - Mental Health Services,Ethnicity,J: Pakistani,01 To 18 Weeks,15
Other - Mental Health Services,Ethnicity,J: Pakistani,18 To 52 Weeks,10
Other - Mental Health Services,Ethnicity,J: Pakistani,Total,25
Other - Mental Health Services,Ethnicity,K: Bangladeshi,01 To 18 Weeks,10
Other - Mental Health Services,Ethnicity,K: Bangladeshi,18 To 52 Weeks,*
Other - Mental Health Services,Ethnicity,K: Bangladeshi,Total,15
Other - Mental Health Services,Ethnicity,L: Any other Asian background,01 To 18 Weeks,30
Other - Mental Health Services,Ethnicity,L: Any other Asian background,18 To 52 Weeks,10
Other - Mental Health Services,Ethnicity,L: Any other Asian background,Total,45
Other - Mental Health Services,Ethnicity,M: Caribbean,01 To 18 Weeks,20
Other - Mental Health Services,Ethnicity,M: Caribbean,18 To 52 Weeks,*
Other - Mental Health Services,Ethnicity,M: Caribbean,Total,20
Other - Mental Health Services,Ethnicity,N: African,01 To 18 Weeks,20
Other - Mental Health Services,Ethnicity,N: African,18 To 52 Weeks,15
Other - Mental Health Services,Ethnicity,N: African,Total,35
Other - Mental Health Services,Ethnicity,P: Any other Black background,01 To 18 Weeks,15
Other - Mental Health Services,Ethnicity,P: Any other Black background,18 To 52 Weeks,*
Other - Mental Health Services,Ethnicity,P: Any other Black background,Total,20
Other - Mental Health Services,Ethnicity,R: Chinese,01 To 18 Weeks,*
Other - Mental Health Services,Ethnicity,R: Chinese,18 To 52 Weeks,*
Other - Mental Health Services,Ethnicity,R: Chinese,Total,10
Other - Mental Health Services,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,*
Other - Mental Health Services,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,*
Other - Mental Health Services,Ethnicity,S: Any other ethnic group,Total,10
Other - Mental Health Services,Ethnicity,Z: Not stated,01 To 18 Weeks,50
Other - Mental Health Services,Ethnicity,Z: Not stated,18 To 52 Weeks,30
Other - Mental Health Services,Ethnicity,Z: Not stated,Total,80
Other - Mental Health Services,IMD,1,01 To 18 Weeks,150
Other - Mental Health Services,IMD,1,18 To 52 Weeks,50
Other - Mental Health Services,IMD,1,Over 52 Weeks,*
Other - Mental Health Services,IMD,1,Total,200
Other - Mental Health Services,IMD,10,01 To 18 Weeks,145
Other - Mental Health Services,IMD,10,18 To 52 Weeks,50
Other - Mental Health Services,IMD,10,Total,190
Other - Mental Health Services,IMD,2,01 To 18 Weeks,190
Other - Mental Health Services,IMD,2,18 To 52 Weeks,70
Other - Mental Health Services,IMD,2,Total,260
Other - Mental Health Services,IMD,3,01 To 18 Weeks,195
Other - Mental Health Services,IMD,3,18 To 52 Weeks,60
Other - Mental Health Services,IMD,3,Total,255
Other - Mental Health Services,IMD,4,01 To 18 Weeks,170
Other - Mental Health Services,IMD,4,18 To 52 Weeks,65
Other - Mental Health Services,IMD,4,Over 52 Weeks,*
Other - Mental Health Services,IMD,4,Total,235
Other - Mental Health Services,IMD,5,01 To 18 Weeks,170
Other - Mental Health Services,IMD,5,18 To 52 Weeks,50
Other - Mental Health Services,IMD,5,Over 52 Weeks,*
Other - Mental Health Services,IMD,5,Total,220
Other - Mental Health Services,IMD,6,01 To 18 Weeks,150
Other - Mental Health Services,IMD,6,18 To 52 Weeks,65
Other - Mental Health Services,IMD,6,Total,215
Other - Mental Health Services,IMD,7,01 To 18 Weeks,160
Other - Mental Health Services,IMD,7,18 To 52 Weeks,65
Other - Mental Health Services,IMD,7,Over 52 Weeks,*
Other - Mental Health Services,IMD,7,Total,225
